year,quarter,market,dur_stay,mode,purpose,Visits (000s),Spend (£m)
2014,1,9,15,1,2,10.94280709,7.636352343
2014,1,9,15,1,5,4.346112505,9.575181425
2014,1,4,0,1,3,26.86850616,2.362898756
2014,1,4,0,3,1,8.985817015,0.636217392
2014,1,4,0,3,3,1.888641983,0.055754515
2014,1,4,0,3,2,0.250059992,0.00425102
2014,1,4,0,3,4,4.200923949,0.355085601
2014,1,4,0,2,2,2.236778975,0.279597372
2014,1,4,3,1,1,23.86599162,9.794575702
2014,1,4,3,1,3,60.29421255,31.82153882
2014,1,4,3,1,2,19.90112096,3.599369353
2014,1,4,3,1,5,1.420819193,0.263658891
2014,1,4,3,1,4,12.10909647,3.335134447
2014,1,4,3,3,1,10.23462987,2.779502199
2014,1,4,3,3,3,11.45888883,2.161761618
2014,1,4,3,3,2,8.740841925,1.267594935
2014,1,4,3,3,4,0.819290996,1.708221793
2014,1,4,3,2,1,6.045175076,0.961805291
2014,1,4,3,2,3,24.4732129,1.397193573
2014,1,4,3,2,2,2.829104066,0.358172968
2014,1,4,3,2,4,1.95294106,1.079786219
2014,1,4,7,1,1,18.49486735,14.57588424
2014,1,4,7,1,3,20.15427247,15.91289022
2014,1,4,7,1,2,17.419668,4.491129933
2014,1,4,7,1,5,0.924230248,0.393229961
2014,1,4,7,1,4,3.470595956,2.32002525
2014,1,4,7,3,1,9.458254904,2.544691592
2014,1,4,7,3,3,0.992870986,0.238289043
2014,1,4,7,3,2,11.220815,2.297374576
2014,1,4,7,3,4,0.992870986,1.191445231
2014,1,4,7,2,1,1.95294106,0.880714208
2014,1,4,7,2,2,4.782045066,0.913692996
2014,1,4,14,1,1,2.396358967,0.959553584
2014,1,4,14,1,3,1.057952166,0.164860383
2014,1,4,14,1,2,8.544010028,2.289948231
2014,1,4,14,3,1,2.036026984,0.889436156
2014,1,4,14,3,3,0.250059992,0.225053996
2014,1,4,14,3,2,4.391225934,0.691836998
2014,1,4,14,2,1,1.225315034,0.177053452
2014,1,4,14,2,2,3.518915117,0.946361959
2014,1,4,15,1,3,0.426521987,0.049050029
2014,1,4,15,1,2,1.304229856,0.349600136
2014,1,4,15,1,5,1.999758422,1.018847227
2014,1,4,15,1,4,0.587451756,2.227013111
2014,1,4,15,3,2,2.28608793,1.624348283
2014,1,4,15,3,4,0.819290996,1.638581991
2014,1,4,15,2,3,0.497689009,0.746533513
2014,1,16,0,1,3,12.16043505,2.10286339
2014,1,16,0,1,4,2.106369019,0.136913985
2014,1,16,0,3,1,1.14427495,0.028606875
2014,1,16,0,3,4,1.14427495,0.085820623
2014,1,16,3,1,1,25.7579774,8.206042754
2014,1,16,3,1,3,31.80597401,16.61912648
2014,1,16,3,1,2,10.23063412,1.858665846
2014,1,16,3,1,4,13.0259271,6.098079726
2014,1,16,7,1,1,24.41745181,13.53990996
2014,1,16,7,1,3,5.997132361,3.738439329
2014,1,16,7,1,2,11.6677461,2.77490782
2014,1,16,7,1,4,1.183454007,0.301352762
2014,1,16,7,3,1,2.2885499,1.654621601
2014,1,16,14,1,1,1.045151472,0.272900552
2014,1,16,14,1,2,1.483192503,0.4914966
2014,1,16,14,1,4,0.494320005,0.84775883
2014,1,16,14,3,1,1.968209028,0.990009129
2014,1,16,15,1,3,0.307275951,1.230129719
2014,1,16,15,1,2,2.826875389,0.199894667
2014,1,25,3,1,1,5.619586915,1.554447696
2014,1,25,3,1,3,7.626461029,3.201563805
2014,1,25,3,1,2,6.863574624,3.010762785
2014,1,25,3,1,4,0.930962026,0.262039825
2014,1,25,7,1,1,8.209043562,3.73769341
2014,1,25,7,1,3,3.233337015,3.407382891
2014,1,25,7,1,2,6.422549784,2.488173047
2014,1,25,7,1,4,0.548116028,0.28227973
2014,1,25,7,2,1,1.445101976,0.722550988
2014,1,25,14,1,1,2.12756452,3.712839097
2014,1,25,14,1,2,7.5233531,2.167449273
2014,1,25,15,1,3,1.135536015,5.851929069
2014,1,25,15,1,2,4.96334374,0.987794709
2014,1,25,15,1,5,0.421739995,0.270335346
2014,1,25,15,1,4,0.421739995,0.638936102
2014,1,10,0,1,1,0.495222002,0.508593023
2014,1,10,0,1,3,10.26649266,0.783143098
2014,1,10,0,1,4,0.907562017,0.113445252
2014,1,10,0,2,3,4.667749882,0
2014,1,10,3,1,1,37.80057874,15.70679653
2014,1,10,3,1,3,38.89978072,18.67826634
2014,1,10,3,1,2,46.24940681,9.345968246
2014,1,10,3,1,5,3.581908822,4.612421185
2014,1,10,3,1,4,11.24390888,1.750445901
2014,1,10,3,3,3,15.84578335,0.693050519
2014,1,10,3,2,3,13.6566695,0.382309385
2014,1,10,3,2,2,0.861392021,0.258417606
2014,1,10,7,1,1,55.30238935,25.32597331
2014,1,10,7,1,3,14.52093273,17.37130473
2014,1,10,7,1,2,69.77425265,15.64826734
2014,1,10,7,1,5,6.616889119,2.823544472
2014,1,10,7,1,4,2.743772924,0.478114635
2014,1,10,7,2,1,2.584176064,0.886372358
2014,1,10,14,1,1,9.748196125,8.717187911
2014,1,10,14,1,3,0.393417954,0.358393431
2014,1,10,14,1,2,37.55645147,9.708952559
2014,1,10,14,1,5,0.675818503,0.735431314
2014,1,10,14,1,4,1.251959324,1.432982922
2014,1,10,15,1,1,1.989430279,0.736610541
2014,1,10,15,1,3,3.161637127,4.4486292
2014,1,10,15,1,2,21.40202749,8.085271886
2014,1,10,15,1,5,2.439445943,3.547242582
2014,1,10,15,1,4,4.494897366,7.432845235
2014,1,10,15,3,2,1.175235987,0.587617993
2014,1,10,15,2,2,0.861392021,0
2014,1,23,0,1,3,0.638408989,0.098768441
2014,1,23,0,3,3,1.033396959,0
2014,1,23,3,1,1,11.19273725,3.811756015
2014,1,23,3,1,3,8.196739167,3.507866316
2014,1,23,3,1,2,8.253189445,0.974664308
2014,1,23,3,3,3,2.996226907,0.019634543
2014,1,23,3,3,4,1.033396959,0.077504776
2014,1,23,3,2,3,1.368134022,0.008208804
2014,1,23,7,1,1,14.29128185,7.236904516
2014,1,23,7,1,3,2.149398804,1.834194742
2014,1,23,7,1,2,9.113089949,1.701505188
2014,1,23,7,3,2,1.805099964,0.902549982
2014,1,23,14,1,1,1.703734636,1.515168034
2014,1,23,14,1,3,1.027272075,1.401539098
2014,1,23,14,1,2,10.18912536,2.912676875
2014,1,23,15,1,1,2.009105444,0.747688591
2014,1,23,15,1,2,8.965637147,2.984953748
2014,1,24,0,1,3,0.55675602,0.058459379
2014,1,24,3,1,1,9.641947031,2.703604607
2014,1,24,3,1,3,2.800570011,2.29475686
2014,1,24,3,1,2,3.583408266,0.629249129
2014,1,24,3,1,4,3.440597534,1.188694395
2014,1,24,3,3,3,1.033396959,0
2014,1,24,3,2,4,0.757025003,0.075702503
2014,1,24,7,1,1,8.069731295,5.926984012
2014,1,24,7,1,3,1.114599019,1.125882665
2014,1,24,7,1,2,6.733840376,1.526882067
2014,1,24,7,1,5,1.662317991,0.670884401
2014,1,24,7,1,4,0.629985332,1.320506573
2014,1,24,14,1,1,0.359832406,0.339966685
2014,1,24,14,1,2,2.569129765,0.435255103
2014,1,24,15,1,2,1.929967284,1.445650786
2014,1,24,15,2,2,0.517796993,0.233008653
2014,1,20,0,1,3,1.372441024,0.095162877
2014,1,20,3,1,1,42.89407864,22.3977847
2014,1,20,3,1,3,25.73251045,16.00816046
2014,1,20,3,1,2,9.831228539,2.34919909
2014,1,20,3,1,5,0.28250432,0.107091218
2014,1,20,3,1,4,20.56277323,9.234057195
2014,1,20,3,3,1,0.871294975,0.043564752
2014,1,20,7,1,1,34.97097951,15.12354587
2014,1,20,7,1,3,5.302943558,15.37071209
2014,1,20,7,1,2,12.03058501,3.501656595
2014,1,20,7,1,4,3.630557969,1.338508051
2014,1,20,7,3,1,0.911181986,0.833731532
2014,1,20,14,1,1,1.617385089,0.611083962
2014,1,20,14,1,2,6.314455286,2.146177183
2014,1,20,14,1,5,4.002939224,4.372727871
2014,1,20,14,1,4,0.393815488,0.279650033
2014,1,20,15,1,1,0.58746478,0.371453427
2014,1,20,15,1,3,0.795882195,1.38845396
2014,1,20,15,1,2,3.478521109,0.560026389
2014,1,39,0,1,3,0.938844025,0.104211684
2014,1,39,0,2,1,1.172441006,0.03517323
2014,1,39,3,1,1,3.531755567,1.288898781
2014,1,39,3,1,3,6.0962971,2.874049546
2014,1,39,3,1,2,1.390507042,0.250279909
2014,1,39,3,1,4,1.211078033,0.390873171
2014,1,39,7,1,1,4.742910922,2.397631146
2014,1,39,7,1,3,5.42013967,2.79902453
2014,1,39,7,1,2,3.066753969,0.554790312
2014,1,39,7,2,1,1.172441006,0.703464627
2014,1,39,7,2,2,0.638693988,0.001277388
2014,1,39,14,1,1,0.243197516,0.173571482
2014,1,39,14,1,3,0.798164427,0.686649978
2014,1,39,14,3,2,1.567278028,0.391819507
2014,1,39,15,1,3,0.271385014,0.546840787
2014,1,39,15,1,2,4.064030886,1.209421903
2014,1,39,15,1,5,0.433596998,0.461780816
2014,1,6,0,1,1,3.355132043,0.180709954
2014,1,6,0,1,3,45.60546204,2.937851009
2014,1,6,0,1,2,5.004212022,0.291834035
2014,1,6,0,1,4,6.371611059,0.426498062
2014,1,6,0,3,2,0.837437987,0.00837438
2014,1,6,0,3,4,1.861495018,1.865218043
2014,1,6,3,1,1,70.98340151,23.5379145
2014,1,6,3,1,3,71.55775434,21.99691215
2014,1,6,3,1,2,97.14259747,22.7415217
2014,1,6,3,1,5,1.097811162,0.22567755
2014,1,6,3,1,4,42.98008621,12.79219999
2014,1,6,3,3,1,14.89196014,4.43966563
2014,1,6,3,3,3,6.166560054,1.861818224
2014,1,6,3,3,2,16.75345516,4.341006409
2014,1,6,3,3,4,13.57346308,1.749124448
2014,1,6,3,2,3,1.990566015,0
2014,1,6,7,1,1,14.3841154,6.199801755
2014,1,6,7,1,3,11.8849678,8.465030517
2014,1,6,7,1,2,54.67929733,13.17856338
2014,1,6,7,1,4,1.758547843,1.037204117
2014,1,6,7,3,3,1.861495018,0.932609022
2014,1,6,7,3,2,12.91519511,4.649612442
2014,1,6,14,1,1,2.025116742,1.071224421
2014,1,6,14,1,2,13.7523815,3.642272186
2014,1,6,14,3,1,1.861495018,0.372298986
2014,1,6,14,3,2,0.837437987,0.252068847
2014,1,6,15,1,2,4.273910314,6.098961093
2014,1,6,15,1,5,0.734238982,0.875212908
2014,1,6,15,3,3,2.443569899,2.851354122
2014,1,6,15,3,2,2.698933005,2.890480399
2014,1,6,0,3,1,4.5,2.474999905
2014,1,6,0,3,3,4.790999889,6.927785873
2014,1,6,0,3,2,22.63400078,11.9054842
2014,1,6,0,3,4,4.296000004,1.550855994
2014,1,45,3,1,1,1.739195406,2.171941757
2014,1,45,3,1,3,6.009669125,3.983749717
2014,1,45,3,1,2,1.982813537,1.302218437
2014,1,45,3,1,4,1.681436718,0.459309064
2014,1,45,7,1,1,1.895266414,2.32039436
2014,1,45,7,1,3,6.133089274,5.244155854
2014,1,45,7,1,2,6.410505116,2.067171171
2014,1,45,7,1,4,1.131179571,0.546418458
2014,1,45,7,3,3,2.892262936,0.070747115
2014,1,45,14,1,3,0.267021,0.538047314
2014,1,45,14,1,2,2.203512564,1.636543438
2014,1,45,15,1,1,0.936828136,0.235575298
2014,1,45,15,1,3,0.448969483,1.340912938
2014,1,45,15,1,2,1.316411749,1.793251395
2014,1,45,15,1,4,0.292146683,1.104513764
2014,1,11,0,1,1,0.562840998,0.0343333
2014,1,11,0,1,3,11.9279319,1.51226989
2014,1,11,0,1,4,1.170704007,0.11882646
2014,1,11,3,1,1,23.94584465,12.28467682
2014,1,11,3,1,3,34.80837038,24.79173213
2014,1,11,3,1,2,20.15530764,6.51304666
2014,1,11,3,1,4,7.669624954,2.635258149
2014,1,11,3,2,2,0.771724999,0
2014,1,11,7,1,1,14.76998624,14.0855755
2014,1,11,7,1,3,7.191848308,3.908774883
2014,1,11,7,1,2,20.03877977,7.194533871
2014,1,11,7,1,4,2.54727295,1.231944248
2014,1,11,7,2,3,0.771724999,0.773268461
2014,1,11,14,1,1,4.279862016,2.988287419
2014,1,11,14,1,3,2.423061311,7.729519486
2014,1,11,14,1,2,6.420523912,1.764924108
2014,1,11,14,2,1,2.18956095,1.417400956
2014,1,11,15,1,1,1.767021656,2.192517087
2014,1,11,15,1,2,3.930083215,2.840424508
2014,1,11,15,2,1,0.771724999,0.63512969
2014,1,12,0,1,3,0.704133019,0.062198414
2014,1,12,0,1,4,1.532871962,0.968008697
2014,1,12,3,1,1,41.30405791,20.06089321
2014,1,12,3,1,3,29.83142388,15.24142665
2014,1,12,3,1,2,5.184347272,0.702111036
2014,1,12,3,1,4,32.13929993,17.19638667
2014,1,12,7,1,1,29.99734534,20.82592653
2014,1,12,7,1,3,5.783752501,4.492832914
2014,1,12,7,1,2,20.19416378,9.81735678
2014,1,12,7,1,5,0.433596998,0.319994599
2014,1,12,7,1,4,7.70403114,6.8837488
2014,1,12,7,3,1,0.911181986,0.481104106
2014,1,12,7,2,1,0.436859995,0.219740584
2014,1,12,14,1,1,0.548702538,0.281086951
2014,1,12,14,1,3,0.800770074,0.955852598
2014,1,12,14,1,2,1.706216529,1.093093768
2014,1,12,15,1,3,2.292974055,1.304709584
2014,1,12,15,1,2,4.597827688,1.081096156
2014,1,12,15,1,4,0.237277895,1.318177462
2014,1,35,0,1,3,0.496270001,0.00744405
2014,1,35,0,2,1,8.597496271,0.429874778
2014,1,35,0,2,3,3.711789072,0.141912341
2014,1,35,3,1,1,4.707666039,1.902448853
2014,1,35,3,1,3,4.439178914,2.106406972
2014,1,35,3,1,2,3.032283306,0.567607022
2014,1,35,3,1,4,2.1437563,0.446796177
2014,1,35,3,3,3,14.36696851,0.946639668
2014,1,35,3,2,1,1.741878211,1.139618561
2014,1,35,3,2,3,4.554177761,0.230378106
2014,1,35,7,1,1,6.879887074,2.93435131
2014,1,35,7,1,3,0.359742999,0.293190539
2014,1,35,7,1,2,3.611210883,1.721403323
2014,1,35,7,1,4,1.152399421,1.483393669
2014,1,35,7,3,1,4.63586092,2.386140794
2014,1,35,7,3,3,2.31793046,0
2014,1,35,7,2,1,2.875737906,0.116377905
2014,1,35,14,1,1,0.521880984,0.060016315
2014,1,35,14,1,2,7.798911333,2.088024914
2014,1,35,14,2,2,0.58062607,0.029371612
2014,1,35,15,1,1,0.938557029,0.309723824
2014,1,35,15,1,2,4.817774415,0.946200836
2014,1,35,15,1,5,0.574540019,0.066072099
2014,1,35,15,1,4,1.761740386,1.111286826
2014,1,35,15,3,3,1.15896523,2.932549477
2014,1,35,15,3,2,1.15896523,0.351765215
2014,1,35,15,2,5,0.58062607,0.117486447
2014,1,14,0,1,3,1.624278009,0.070745287
2014,1,14,0,1,4,1.201901019,0.165265422
2014,1,14,0,3,3,3.46491909,0.115497299
2014,1,14,0,2,3,1.602371991,0
2014,1,14,3,1,1,12.1900734,2.754765924
2014,1,14,3,1,3,17.74494818,6.264314987
2014,1,14,3,1,2,13.48739505,1.462032219
2014,1,14,3,1,4,9.142490536,2.949703439
2014,1,14,3,3,1,9.27172184,2.112936437
2014,1,14,3,3,3,89.91890156,1.562431782
2014,1,14,3,3,2,1.15896523,0.064490288
2014,1,14,3,3,4,1.15896523,0
2014,1,14,3,2,1,0.58062607,0.058743224
2014,1,14,3,2,3,6.312372148,0.029371612
2014,1,14,3,2,2,1.161252141,0.026434449
2014,1,14,7,1,1,11.4410705,3.303734168
2014,1,14,7,1,3,4.059251189,2.298785433
2014,1,14,7,1,2,55.25587028,10.68978587
2014,1,14,7,1,4,0.225425839,0.079259872
2014,1,14,7,3,1,5.445036411,1.060981333
2014,1,14,7,3,3,6.720598102,0.194572594
2014,1,14,7,3,2,3.243702531,0.363846807
2014,1,14,7,2,1,9.207839787,3.129735172
2014,1,14,7,2,3,4.408406556,1.068781659
2014,1,14,7,2,2,0.848881125,0.085883178
2014,1,14,14,1,1,0.742035985,0.619477034
2014,1,14,14,1,2,31.79956913,11.74654743
2014,1,14,14,1,5,0.708266437,0.15223743
2014,1,14,14,2,1,0.58062607,0.058743224
2014,1,14,14,2,2,2.322504282,0.364207986
2014,1,14,15,1,3,2.668337166,4.674892172
2014,1,14,15,1,2,30.17334455,9.086028956
2014,1,14,15,3,1,1.04236865,0.527293682
2014,1,14,15,2,2,2.903130352,0.857651055
2014,1,14,15,2,4,0.58062607,0.505779147
2014,1,52,0,3,3,2.193750978,0
2014,1,52,0,2,3,1.529090047,0.00764545
2014,1,52,3,1,1,2.760512054,1.038499609
2014,1,52,3,1,3,3.342135668,2.088891476
2014,1,52,3,1,2,2.570520699,1.543917194
2014,1,52,3,3,1,2.31793046,0.703530431
2014,1,52,3,3,3,34.69220924,0.914462268
2014,1,52,3,3,2,1.15896523,0.078560904
2014,1,52,3,2,3,3.129658461,0
2014,1,52,7,1,1,2.854156077,0.858927414
2014,1,52,7,1,3,4.339930356,3.184322715
2014,1,52,7,1,2,12.29944906,5.001693256
2014,1,52,7,3,3,7.959362745,1.069446206
2014,1,52,7,3,2,2.31793046,0.102011919
2014,1,52,14,1,1,1.268847942,1.024536222
2014,1,52,14,1,3,0.748207688,0.712820768
2014,1,52,14,1,2,14.03529859,3.169068605
2014,1,52,14,3,3,1.188286066,0
2014,1,52,14,3,2,0.291891456,0.059062611
2014,1,52,15,1,1,0.645463705,0.227229118
2014,1,52,15,1,3,0.646278799,0.124415621
2014,1,52,15,1,2,9.528211504,5.844658364
2014,1,52,15,3,1,1.15896523,4.692548275
2014,1,52,15,3,2,3.360298991,2.03981337
2014,1,43,0,1,3,0.496270001,0.00744405
2014,1,43,0,3,3,1.038777947,0
2014,1,43,3,1,1,5.458384633,1.457836241
2014,1,43,3,1,3,2.974658996,1.287276901
2014,1,43,3,1,2,4.154041588,1.02102904
2014,1,43,3,1,4,0.807397991,0.049953477
2014,1,43,3,3,3,19.11942601,0.319952982
2014,1,43,3,3,4,1.15896523,0.017588262
2014,1,43,3,2,3,1.534375429,0.007761808
2014,1,43,7,1,1,5.49629283,2.117900982
2014,1,43,7,1,3,1.327886999,0.823682368
2014,1,43,7,1,2,7.827825725,2.100986928
2014,1,43,7,1,4,0.496270001,0.429273546
2014,1,43,7,3,3,2.31793046,0.023451015
2014,1,43,14,1,1,0.732968509,0.078193493
2014,1,43,14,1,2,5.055190325,1.17527774
2014,1,43,14,1,4,2.377708912,2.413374662
2014,1,43,14,2,3,0.58062607,0.073429026
2014,1,43,15,1,2,2.333159447,0.293192368
2014,1,18,0,3,3,1.15497303,0
2014,1,18,0,2,1,1.554165959,0.031083319
2014,1,18,3,1,1,8.318778157,3.232817382
2014,1,18,3,1,3,4.460365117,1.970905311
2014,1,18,3,1,2,1.109500766,0.964560699
2014,1,18,3,1,4,0.667584002,1.345181704
2014,1,18,3,3,3,1.04236865,0
2014,1,18,3,2,2,0.585639358,0
2014,1,18,7,1,1,10.67534965,11.85678476
2014,1,18,7,1,3,5.310116947,8.845746756
2014,1,18,7,1,2,1.273039877,0.405241325
2014,1,18,7,2,1,3.119076252,3.191928148
2014,1,18,14,1,1,5.102470398,7.865676105
2014,1,18,14,1,2,1.284355938,1.034941614
2014,1,18,14,1,5,1.245142996,2.548482567
2014,1,18,15,1,2,0.549183428,0.506554961
2014,1,18,15,1,4,0.544924021,1.211910963
2014,1,29,3,1,1,2.983084619,1.318672471
2014,1,29,3,1,3,5.823521346,3.647486612
2014,1,29,3,1,2,2.184866846,0.266853509
2014,1,29,3,1,4,8.765626281,3.217809286
2014,1,29,7,1,1,11.68902892,8.33396358
2014,1,29,7,1,3,4.909661978,4.106088147
2014,1,29,7,1,2,6.193799853,2.618022663
